0_macro_mape,84.49
0_micro_mape,97.76
0_feat,"[ 86.19  55.13  87.89  94.05  94.52  96.65 100.    98.95 100.   100.
 100.   100.   100.   100.   100.  ]"
1_macro_mape,34.46
1_micro_mape,53.06
1_feat,"[ 21.9    0.07  86.04  63.05   4.76  15.87   2.02 100.   100.   100.
 100.   100.    22.76   4.57   0.42]"
2_macro_mape,72.38
2_micro_mape,91.03
2_feat,"[ 74.18  98.98 100.   100.   100.   100.   100.   100.    16.34 100.
 100.   100.   100.    85.04 100.  ]"
3_macro_mape,93.56
3_micro_mape,97.95
3_feat,"[ 93.68  87.46  87.38  99.14 100.    93.08 100.   100.   100.   100.
  90.95 100.   100.   100.   100.  ]"
4_macro_mape,91.38
4_micro_mape,96.49
4_feat,"[ 70.21  97.2   75.94  96.18 100.    98.12 100.   100.   100.   100.
  89.31 100.   100.   100.   100.  ]"
5_macro_mape,86.89
5_micro_mape,96.92
5_feat,"[ 58.84  90.93  70.38  95.73 100.    97.78 100.   100.   100.    99.24
 100.   100.   100.   100.   100.  ]"
6_macro_mape,76.85
6_micro_mape,83.5
6_feat,"[ 92.22  85.29  88.38 100.   100.   100.   100.   100.    29.89 100.
 100.   100.    99.8    0.41 100.  ]"
7_macro_mape,76.56
7_micro_mape,87.22
7_feat,"[ 77.67  97.25  84.34 100.   100.    31.32 100.    68.72 100.    94.62
 100.    25.38 100.    90.74  90.28]"
8_macro_mape,48.34
8_micro_mape,77.62
8_feat,"[ 84.86  94.47  78.   100.   100.    12.79 100.   100.     1.23 100.
 100.     9.43 100.    65.14 100.  ]"
9_macro_mape,86.68
9_micro_mape,99.84
9_feat,"[ 57.93  96.15  99.41  99.62 100.    92.64  99.21 100.   100.   100.
 100.   100.   100.   100.   100.  ]"
10_macro_mape,31.54
10_micro_mape,57.11
10_feat,"[ 17.55   4.66  72.36  70.78   3.57   3.97   2.02 100.   100.   100.
 100.   100.    61.68  17.22   0.56]"
11_macro_mape,95.25
11_micro_mape,98.2
11_feat,"[ 89.71  91.29  90.02 100.   100.   100.   100.   100.   100.    96.32
 100.   100.   100.    90.15 100.  ]"
