0_mape,93.21
0_ingrs,"[ 59.26  78.18  92.5   94.4   93.89  87.81 100.    92.17 100.   100.
 100.   100.   100.   100.   100.  ]"
1_mape,45.89
1_ingrs,"[ 18.85   0.05  86.93  61.46  32.71  38.08  51.13  79.01   1.93 100.
 100.   100.    16.61   1.14   0.47]"
2_mape,73.62
2_ingrs,"[ 32.75  95.16  79.37  10.35 100.   100.    18.79 100.     2.86 100.
 100.   100.    94.04  70.93 100.  ]"
3_mape,96.72
3_ingrs,"[ 78.23  89.79  89.33  99.88 100.    94.7  100.   100.   100.   100.
  98.93 100.   100.   100.   100.  ]"
4_mape,96.62
4_ingrs,"[ 78.74  85.09  90.11  97.23 100.    99.76 100.   100.   100.   100.
  98.34 100.   100.   100.   100.  ]"
5_mape,97.26
5_ingrs,"[ 99.23  83.6   92.74  96.94 100.    90.78 100.   100.   100.    95.65
 100.   100.   100.   100.   100.  ]"
6_mape,97.57
6_ingrs,"[ 90.18  81.14  98.92 100.   100.   100.   100.   100.    95.24 100.
 100.   100.    98.12 100.   100.  ]"
7_mape,95.43
7_ingrs,"[ 78.35  93.11  92.21 100.   100.    77.39 100.    96.81 100.    99.18
 100.   100.   100.    94.36 100.  ]"
8_mape,94.94
8_ingrs,"[ 85.47  93.44  98.46 100.   100.   100.   100.   100.    59.94 100.
 100.    91.16 100.    95.68 100.  ]"
9_mape,95.22
9_ingrs,"[ 77.21  79.8   99.65  94.13 100.    79.04  98.5  100.   100.   100.
 100.   100.   100.   100.   100.  ]"
10_mape,44.88
10_ingrs,"[ 23.18   3.68  83.18  90.32  22.85  41.7   49.24  46.55   2.83 100.
 100.   100.     7.71   1.35   0.61]"
11_mape,97.1
11_ingrs,"[ 91.73  80.95  90.89 100.   100.   100.   100.   100.   100.    99.51
 100.   100.   100.    93.46 100.  ]"
