,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbs,Fiber,Sugar,Protein,Vitamin D,Calcium,Iron,Potassium
Active Dry Yeast,295,4.6,0.6,0,0.05,38.2,21,0,38.3,0,0.064,0.017,2
Water,0,0,0,0,0.003,0,0,0,0,0,0.003,0,0.001
Salt,0,0,0,0,38.758,0,0,0,0,0,0.024,0,0.008
Bread Flour,361,1.7,0.2,0,0.002,72.5,2.4,0.3,12,0,0.015,0.004,0.1
Butter,717,81.1,51.4,0.215,0.576,0.1,0,0.1,0.9,0.000056,0.024,0,0.024
Sugar,375,0,0,0,0,100,0,100,0,0,0,0,0
Egg,143,9.9,3.1,0.372,0.14,0.8,0,0.8,12.6,0.000035,0.053,0.002,0.134
Dry Milk,496,26.7,16.7,0.097,0.371,38.4,0,38.4,26.3,0.000312,0.912,0,1.33
Wheat Flour,364,1,0.2,0,0.002,76.3,2.7,0.3,10.3,0,0.015,0.005,0.107
Vegetable Oil,884,100,7.4,0,0,0,0,0,0,0,0,0,0
Olive Oil,800,93.3,13.3,0,0,0,0,0,0,0,0,0,0
Honey,304,0,0,0,0.004,82.4,0.2,82.1,0.3,0,0.006,0,0.052
Brown Sugar,380,0,0,0,0.028,98.1,0,97,0.1,0,0.083,0.001,0.133
All-Purpose Flour,364,1,0.2,0,0.002,76.3,2.7,0.3,10.3,0,0.015,0.005,0.107
Milk,50,2.1,1.2,0.008,0.047,4.9,0,4.5,3.3,0.000001,0.119,0,0.057
